timestamp,image,prediction,confidence,processing_time_ms,actual_label,correct
2026-02-25T15:04:01.085,ok_014.png,ok,1.0,78.22,ok,True
2026-02-25T15:04:01.239,ok_014.png,ok,1.0,53.32,ok,True
2026-02-25T15:04:01.396,defect_007.png,defect,1.0,55.03,defect,True
2026-02-25T15:04:01.533,ok_018.png,ok,1.0,36.18,ok,True
2026-02-25T15:04:01.661,ok_013.png,ok,1.0,28.07,ok,True
2026-02-25T15:04:01.814,defect_008.png,defect,0.995,51.32,defect,True
2026-02-25T15:04:01.950,defect_016.png,defect,0.99,34.75,defect,True
2026-02-25T15:04:02.117,defect_021.png,defect,1.0,65.0,defect,True
2026-02-25T15:04:02.265,ok_011.png,ok,1.0,46.71,ok,True
2026-02-25T15:04:02.425,defect_010.png,defect,0.985,58.66,defect,True
2026-02-25T15:04:02.568,defect_022.png,defect,1.0,42.17,defect,True
2026-02-25T15:04:02.731,ok_006.png,ok,1.0,61.63,ok,True
2026-02-25T15:04:02.889,ok_013.png,ok,1.0,56.6,ok,True
2026-02-25T15:04:03.019,ok_003.png,ok,1.0,28.89,ok,True
2026-02-25T15:04:03.163,defect_008.png,defect,0.995,43.36,defect,True
2026-02-25T15:04:03.317,ok_021.png,ok,1.0,52.75,ok,True
2026-02-25T15:04:03.458,ok_002.png,ok,1.0,39.31,ok,True
2026-02-25T15:04:03.621,ok_001.png,ok,1.0,61.88,ok,True
2026-02-25T15:04:03.749,defect_021.png,defect,1.0,26.69,defect,True
2026-02-25T15:04:03.893,ok_016.png,ok,1.0,43.17,ok,True
